State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.year,Crash Date.month,Crash Date.day-of-month,Crash Date.day-of-week
Louisiana,Rain,2011-01-09,1,Urban-Other Principal Arterial,82,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,9,7
Maine,Cloudy,2011-02-08,1,Rural-Local Road or Street,21,0.27,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,2,8,2
Maryland,Clear,2011-01-05,1,Rural-Principal Arterial-Other,25,0.23,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),2011,1,5,3
Maryland,Clear,2011-01-05,1,Rural-Principal Arterial-Other,37,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,5,3
Maryland,Clear,2011-01-05,1,Rural-Principal Arterial-Other,39,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,5,3
Maryland,Clear,2011-01-05,1,Rural-Principal Arterial-Other,74,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,5,3
Maryland,Clear,2011-01-05,1,Rural-Principal Arterial-Other,75,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,5,3
Michigan,Snow,2011-01-04,1,Urban-Principal Arterial-Other Freeways or Expressways,61,0.0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,4,2
Minnesota,Snow,2011-01-21,1,Urban-Minor Arterial,28,,Driver of a Motor Vehicle In-Transport,No,,Male,Possible Injury (C),2011,1,21,5
Minnesota,Snow,2011-01-21,1,Urban-Minor Arterial,43,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,21,5
Mississippi,Clear,2011-01-07,1,Rural-Principal Arterial-Interstate,70,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,7,5
Missouri,Cloudy,2011-01-07,1,Rural-Principal Arterial-Other,20,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,7,5
Montana,Snow,2011-02-22,1,Rural-Minor Arterial,63,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,"Injured, Severity Unknown",2011,2,22,2
Nebraska,Clear,2011-02-03,1,Rural-Minor Arterial,75,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,2,3,4
New Jersey,Clear,2011-01-07,1,Urban-Local Road or Street,57,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,7,5
New Jersey,Clear,2011-01-07,1,Urban-Local Road or Street,58,0.0,Pedestrian,No,White,Male,Fatal Injury (K),2011,1,7,5
New Mexico,Clear,2011-01-13,2,Urban-Other Principal Arterial,3,,Pedestrian,Not Reported,White,Female,Fatal Injury (K),2011,1,13,4
New Mexico,Clear,2011-01-13,2,Urban-Other Principal Arterial,66,0.0,Pedestrian,Not Reported,White,Female,Fatal Injury (K),2011,1,13,4
North Dakota,Clear,2011-01-24,1,Rural-Principal Arterial-Other,18,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,24,1
Ohio,Cloudy,2011-01-08,1,Urban-Collector,26,0.01,Driver of a Motor Vehicle In-Transport,No,All other races,Male,Fatal Injury (K),2011,1,8,6
Oklahoma,Cloudy,2011-01-10,1,Rural-Principal Arterial-Interstate,68,0.0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,10,1
Pennsylvania,Clear,2011-01-01,1,Urban-Other Principal Arterial,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6
Pennsylvania,Clear,2011-01-01,1,Urban-Other Principal Arterial,21,,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),2011,1,1,6
Rhode Island,Clear,2011-03-23,1,Urban-Local Road or Street,18,0.05,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),2011,3,23,3
South Dakota,Clear,2011-02-26,1,Urban-Local Road or Street,11,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,2,26,6
South Dakota,Clear,2011-02-26,1,Urban-Local Road or Street,45,0.05,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,2,26,6
Texas,Cloudy,2011-01-01,1,Rural-Principal Arterial-Interstate,1,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Possible Injury (C),2011,1,1,6
Texas,Cloudy,2011-01-01,1,Rural-Principal Arterial-Interstate,8,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Possible Injury (C),2011,1,1,6
Texas,Cloudy,2011-01-01,1,Rural-Principal Arterial-Interstate,18,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Possible Injury (C),2011,1,1,6
Texas,Cloudy,2011-01-01,1,Rural-Principal Arterial-Interstate,28,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,1,6
Texas,Cloudy,2011-01-01,1,Rural-Principal Arterial-Interstate,36,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,1,6
Vermont,Clear,2011-04-07,1,Urban-Collector,18,0.19,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,4,7,4
Washington,Clear,2011-01-22,1,Urban-Principal Arterial-Other Freeways or Expressways,29,0.0,Driver of a Motor Vehicle In-Transport,Yes,,Male,Possible Injury (C),2011,1,22,6
West Virginia,Cloudy,2011-01-10,1,Rural-Major Collector,29,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,10,1
West Virginia,Cloudy,2011-01-10,1,Rural-Major Collector,31,0.0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,10,1
West Virginia,Cloudy,2011-01-10,1,Rural-Major Collector,36,,Driver of a Motor Vehicle In-Transport,No,,Male,Possible Injury (C),2011,1,10,1
Wyoming,Clear,2011-02-23,2,Urban-Other Principal Arterial,17,,Passenger of a Motor Vehicle In-Transport,Unknown,,Female,Incapacitating Injury (A),2011,2,23,3
Wyoming,Clear,2011-02-23,2,Urban-Other Principal Arterial,18,0.0,Driver of a Motor Vehicle In-Transport,No,,Female,Incapacitating Injury (A),2011,2,23,3
Wyoming,Clear,2011-02-23,2,Urban-Other Principal Arterial,23,0.09,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,2,23,3
Alaska,Cloudy,2011-03-12,1,Urban-Other Principal Arterial,34,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,3,12,6
Arkansas,Snow,2011-01-09,1,Rural-Principal Arterial-Other,56,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,9,7
Colorado,Clear,2011-01-12,1,Rural-Local Road or Street,0,,Passenger of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,12,3
Colorado,Clear,2011-01-12,1,Rural-Local Road or Street,24,0.36,Pedestrian,Yes,White,Male,Fatal Injury (K),2011,1,12,3
Connecticut,Clear,2011-01-08,1,Urban-Minor Arterial,18,0.0,Pedestrian,Not Reported,White,Male,Fatal Injury (K),2011,1,8,6
Connecticut,Clear,2011-01-08,1,Urban-Minor Arterial,84,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,8,6
Delaware,Cloudy,2011-02-28,1,Urban-Other Principal Arterial,12,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,2,28,1
District of Columbia,Clear,2011-05-08,1,Urban-Principal Arterial-Other Freeways or Expressways,24,0.27,Pedestrian,No,Black,Male,Fatal Injury (K),2011,5,8,7
Florida,Clear,2011-01-05,1,Urban-Other Principal Arterial,72,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,5,3
Hawaii,Clear,2011-01-14,1,Urban-Other Principal Arterial,35,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Possible Injury (C),2011,1,14,5
Hawaii,Clear,2011-01-14,1,Urban-Other Principal Arterial,36,0.08,Driver of a Motor Vehicle In-Transport,Unknown,Filipino,Male,Fatal Injury (K),2011,1,14,5
Idaho,Cloudy,2011-03-14,1,Urban-Local Road or Street,20,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,3,14,1
Idaho,Cloudy,2011-03-14,1,Urban-Local Road or Street,21,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,3,14,1
Illinois,Clear,2011-01-01,1,Rural-Minor Arterial,8,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,1,6
Illinois,Clear,2011-01-01,1,Rural-Minor Arterial,61,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,1,6
Indiana,Clear,2011-01-01,1,Urban-Collector,29,0.16,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,1,6
Kansas,Clear,2011-01-14,1,Rural-Major Collector,35,0.0,Pedestrian,Not Reported,White,Female,Fatal Injury (K),2011,1,14,5
Kentucky,Clear,2011-01-13,1,Rural-Major Collector,18,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,13,4
Louisiana,"Sleet, Hail (Freezing Rain or Drizzle)",2011-01-09,1,Rural-Principal Arterial-Interstate,30,,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,1,9,7
Louisiana,"Sleet, Hail (Freezing Rain or Drizzle)",2011-01-09,1,Rural-Principal Arterial-Interstate,31,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,9,7
Maine,Clear,2011-02-09,1,Rural-Local Road or Street,17,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,2,9,3
Maine,Clear,2011-02-09,1,Rural-Local Road or Street,52,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,2,9,3
Massachusetts,Not Reported,2011-01-13,1,Urban-Local Road or Street,26,0.13,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),2011,1,13,4
Michigan,Clear,2011-01-04,1,Urban-Principal Arterial-Interstate,31,0.0,Pedestrian,Yes,White,Male,Fatal Injury (K),2011,1,4,2
Michigan,Clear,2011-01-04,1,Urban-Principal Arterial-Interstate,50,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,4,2
Missouri,Snow,2011-01-10,1,Rural-Major Collector,61,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,10,1
Missouri,Snow,2011-01-10,1,Rural-Major Collector,63,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,10,1
Montana,Cloudy,2011-02-20,1,Urban-Other Principal Arterial,21,0.11,Driver of a Motor Vehicle In-Transport,Yes,,Male,Incapacitating Injury (A),2011,2,20,7
Montana,Cloudy,2011-02-20,1,Urban-Other Principal Arterial,22,0.11,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,2,20,7
Nebraska,Clear,2011-02-03,1,Rural-Principal Arterial-Other,12,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,2,3,4
Nebraska,Clear,2011-02-03,1,Rural-Principal Arterial-Other,41,0.0,Driver of a Motor Vehicle In-Transport,No,,Female,Possible Injury (C),2011,2,3,4
Nevada,Clear,2011-01-20,1,Urban-Minor Arterial,49,0.24,Pedestrian,No,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),2011,1,20,4
New Hampshire,Snow,2011-03-05,1,Rural-Principal Arterial-Other,54,0.0,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,3,5,6
New Jersey,Clear,2011-01-10,1,Urban-Minor Arterial,54,0.28,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,10,1
New Mexico,Clear,2011-01-14,1,Rural-Principal Arterial-Interstate,45,0.0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,14,5
New York,Clear,2011-01-10,1,Rural-Principal Arterial-Other,65,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),2011,1,10,1
North Dakota,Clear,2011-02-05,1,Rural-Local Road or Street,42,0.1,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,2,5,6
Ohio,Clear,2011-01-09,1,Rural-Local Road or Street,53,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,9,7
Ohio,Clear,2011-01-09,1,Rural-Local Road or Street,75,0.14,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,9,7
Oklahoma,Clear,2011-01-11,1,Rural-Principal Arterial-Other,82,,Pedestrian,No,White,Female,Fatal Injury (K),2011,1,11,2
Oregon,Not Reported,2011-01-14,1,Urban-Other Principal Arterial,31,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,14,5
Pennsylvania,Clear,2011-01-14,1,Urban-Minor Arterial,30,,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,14,5
Pennsylvania,Clear,2011-01-14,1,Urban-Minor Arterial,56,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,14,5
Pennsylvania,Clear,2011-01-14,1,Urban-Minor Arterial,92,,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),2011,1,14,5
South Carolina,Clear,2011-01-12,1,Rural-Unknown Rural,22,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,12,3
Tennessee,Snow,2011-01-05,1,Rural-Minor Arterial,23,0.0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,5,3
Texas,Clear,2011-01-01,1,Rural-Principal Arterial-Other,60,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Texas,Clear,2011-01-01,1,Rural-Principal Arterial-Other,63,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Virginia,Clear,2011-01-14,1,Rural-Minor Arterial,34,0.16,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,14,5
Washington,Cloudy,2011-01-23,1,Urban-Minor Arterial,21,0.07,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,23,7
Washington,Cloudy,2011-01-23,1,Urban-Minor Arterial,52,0.11,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,23,7
West Virginia,Snow,2011-01-11,1,Rural-Principal Arterial-Other,48,0.0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,11,2
Wisconsin,Snow,2011-01-12,1,Rural-Principal Arterial-Other,41,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,12,3
Alabama,Rain,2011-01-01,1,Rural-Principal Arterial-Other,49,,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Arizona,Clear,2011-01-15,1,Rural-Principal Arterial-Other,39,,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),2011,1,15,6
Arkansas,Snow,2011-01-09,1,Rural-Principal Arterial-Other,5,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Possible Injury (C),2011,1,9,7
Arkansas,Snow,2011-01-09,1,Rural-Principal Arterial-Other,15,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,9,7
Arkansas,Snow,2011-01-09,1,Rural-Principal Arterial-Other,20,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,9,7
Arkansas,Snow,2011-01-09,1,Rural-Principal Arterial-Other,31,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,9,7
Arkansas,Snow,2011-01-09,1,Rural-Principal Arterial-Other,58,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,9,7
Arkansas,Snow,2011-01-09,1,Rural-Principal Arterial-Other,60,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,9,7
California,Rain,2011-01-01,1,Urban-Principal Arterial-Interstate,24,0.0,Passenger of a Motor Vehicle In-Transport,Not Reported,\N,Female,Fatal Injury (K),2011,1,1,6
California,Rain,2011-01-01,1,Urban-Principal Arterial-Interstate,29,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,1,6
California,Rain,2011-01-01,1,Urban-Principal Arterial-Interstate,41,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,1,6
Colorado,Clear,2011-01-15,1,Urban-Local Road or Street,47,0.23,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,15,6
Connecticut,Clear,2011-01-16,1,Urban-Minor Arterial,84,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,16,7
District of Columbia,Clear,2011-05-24,1,Urban-Local Road or Street,27,0.02,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),2011,5,24,2
District of Columbia,Clear,2011-05-24,1,Urban-Local Road or Street,30,,Driver of a Motor Vehicle In-Transport,No,,Female,Possible Injury (C),2011,5,24,2
Florida,Rain,2011-01-05,1,Rural-Local Road or Street,18,0.0,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),2011,1,5,3
Florida,Rain,2011-01-05,1,Rural-Local Road or Street,23,,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,5,3
Hawaii,Clear,2011-01-17,1,Rural-Local Road or Street,21,0.11,Driver of a Motor Vehicle In-Transport,Unknown,Japanese,Male,Fatal Injury (K),2011,1,17,1
Idaho,Cloudy,2011-02-18,1,Rural-Minor Arterial,26,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,2,18,5
Idaho,Cloudy,2011-02-18,1,Rural-Minor Arterial,39,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,2,18,5
Idaho,Cloudy,2011-02-18,1,Rural-Minor Arterial,46,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,2,18,5
Idaho,Cloudy,2011-02-18,1,Rural-Minor Arterial,49,0.21,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,2,18,5
Idaho,Cloudy,2011-02-18,1,Rural-Minor Arterial,49,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,2,18,5
Indiana,Snow,2011-01-06,1,Rural-Principal Arterial-Interstate,64,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,6,4
Indiana,Snow,2011-01-06,1,Rural-Principal Arterial-Interstate,74,,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,6,4
Kansas,Clear,2011-01-14,1,Urban-Minor Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,14,5
Kansas,Clear,2011-01-14,1,Urban-Minor Arterial,40,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,14,5
Kentucky,Clear,2011-01-14,1,Urban-Local Road or Street,51,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,14,5
Louisiana,Rain,2011-01-15,1,Rural-Minor Collector,35,0.11,Pedestrian,Unknown,White,Male,Fatal Injury (K),2011,1,15,6
Maine,Clear,2011-03-08,1,Urban-Collector,82,0.01,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,3,8,2
Maryland,Clear,2011-01-13,1,Rural-Minor Arterial,41,0.0,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,13,4
Minnesota,Snow,2011-01-24,1,Rural-Minor Collector,43,0.0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,24,1
Mississippi,Clear,2011-01-08,1,Rural-Principal Arterial-Interstate,52,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,8,6
Mississippi,Clear,2011-01-08,1,Rural-Principal Arterial-Interstate,52,,Pedestrian,No,American Indian (includes Aleuts and Eskimos),Female,Fatal Injury (K),2011,1,8,6
Missouri,Snow,2011-01-10,1,Rural-Principal Arterial-Interstate,58,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,10,1
Missouri,Snow,2011-01-10,1,Rural-Principal Arterial-Interstate,65,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,10,1
Montana,Clear,2011-02-21,2,Rural-Principal Arterial-Other,9,,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,2,21,1
Montana,Clear,2011-02-21,2,Rural-Principal Arterial-Other,14,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,2,21,1
Montana,Clear,2011-02-21,2,Rural-Principal Arterial-Other,45,0.0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,2,21,1
Montana,Clear,2011-02-21,2,Rural-Principal Arterial-Other,81,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,2,21,1
New Hampshire,Clear,2011-03-18,1,Rural-Principal Arterial-Interstate,12,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,3,18,5
New Jersey,Blowing Snow,2011-01-09,1,Urban-Minor Arterial,61,0.22,Pedestrian,No,White,Male,Fatal Injury (K),2011,1,9,7
New Mexico,Clear,2011-01-21,1,Rural-Principal Arterial-Other,24,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,21,5
New Mexico,Clear,2011-01-21,1,Rural-Principal Arterial-Other,30,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,21,5
New York,Cloudy,2011-01-12,1,Urban-Minor Arterial,51,,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),2011,1,12,3
North Carolina,Clear,2011-01-28,1,Rural-Minor Arterial,46,0.0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,28,5
Oregon,Clear,2011-01-15,1,Rural-Major Collector,21,0.23,Passenger of a Motor Vehicle In-Transport,Unknown,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),2011,1,15,6
Oregon,Clear,2011-01-15,1,Rural-Major Collector,30,,Passenger of a Motor Vehicle In-Transport,Unknown,,Female,Non-incapacitating Evident Injury (B),2011,1,15,6
Rhode Island,Clear,2011-03-24,1,Urban-Other Principal Arterial,52,0.1,Pedestrian,Not Reported,White,Male,Fatal Injury (K),2011,3,24,4
South Carolina,Clear,2011-01-15,1,Rural-Local Road or Street,45,0.1,Pedestrian,Not Reported,Black,Female,Fatal Injury (K),2011,1,15,6
South Carolina,Clear,2011-01-15,1,Rural-Local Road or Street,45,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,15,6
South Dakota,Clear,2011-03-20,1,Urban-Minor Arterial,23,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,3,20,7
South Dakota,Clear,2011-03-20,1,Urban-Minor Arterial,32,0.31,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,3,20,7
Tennessee,Clear,2011-01-22,1,Rural-Principal Arterial-Other,44,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,22,6
Tennessee,Clear,2011-01-22,1,Rural-Principal Arterial-Other,64,0.0,Pedestrian,Unknown,White,Male,Fatal Injury (K),2011,1,22,6
Texas,Cloudy,2011-01-03,1,Urban-Local Road or Street,62,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,3,1
Vermont,Cloudy,2011-04-18,1,Rural-Major Collector,41,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,4,18,1
Virginia,Clear,2011-01-14,1,Rural-Principal Arterial-Other,37,,Driver of a Motor Vehicle In-Transport,No,,Female,Incapacitating Injury (A),2011,1,14,5
Washington,Clear,2011-01-23,1,Urban-Local Road or Street,31,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,23,7
Wisconsin,Cloudy,2011-01-12,1,Rural-Major Collector,76,0.0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,12,3
Wyoming,Clear,2011-03-01,1,Urban-Collector,71,,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,3,1,2
Alabama,Clear,2011-01-01,1,Urban-Collector,47,0.27,Pedestrian,Unknown,White,Male,Fatal Injury (K),2011,1,1,6
Alabama,Clear,2011-01-01,1,Urban-Collector,,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Arizona,Clear,2011-01-16,1,Urban-Minor Arterial,29,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,16,7
Arizona,Clear,2011-01-16,1,Urban-Minor Arterial,29,0.18,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),2011,1,16,7
Arizona,Clear,2011-01-16,1,Urban-Minor Arterial,43,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,16,7
Arkansas,Clear,2011-01-10,1,Rural-Major Collector,50,0.21,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,10,1
Colorado,Clear,2011-01-16,1,Rural-Principal Arterial-Interstate,34,0.0,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,16,7
Connecticut,Clear,2011-02-28,1,Rural-Major Collector,32,0.23,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,2,28,1
Florida,Clear,2011-01-05,2,Urban-Principal Arterial-Interstate,35,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,5,3
Florida,Clear,2011-01-05,2,Urban-Principal Arterial-Interstate,48,0.0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,5,3
Florida,Clear,2011-01-05,2,Urban-Principal Arterial-Interstate,48,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,5,3
Florida,Clear,2011-01-05,2,Urban-Principal Arterial-Interstate,72,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,5,3
Florida,Clear,2011-01-05,2,Urban-Principal Arterial-Interstate,74,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,5,3
